Date,Number of New Positive Cases in Last 24 Hrs,Total Number of Positive Cases to Date,Number of New Tests in Last 24 Hrs,Total Number of Tests to Date,Total Number of Active Cases Undergoing Treatment to Date,Number of New Recovered Cases in Last 24 Hrs,Total Number of Recovered Cases to Date,Number of New Deaths in Last 24 Hrs,Total Number of Deaths to Date,Total Number of Acute Cases under Hospital Treatment,Number of New Acute Hospital Admissions in Last 24 Hrs,Total Number of Cases under ICU Treatment,Number of New ICU Admissions in Last 24 Hrs,Total Number of Vaccine Doses Administered in Last 24 Hrs,Total Number of Vaccine Doses Administered Since Start of Vaccination Campaign
10/25/2020,205,131170,6703,234283,2841,231,128099,1,230,377,29,33,0,,
10/26/2020,262,131432,9735,944018,2859,244,128343,0,230,376,43,37,5,,
10/27/2020,257,131689,6013,950031,2841,274,128617,0,230,380,45,40,3,,
10/28/2020,250,131939,10044,960075,2825,267,128884,0,230,388,41,38,3,,
10/29/2020,211,132150,10044,965389,2795,240,129124,1,231,378,54,41,3,,
10/30/2020,193,132343,9971,971199,2762,225,129349,1,232,365,30,39,1,,
10/31/2020,213,132556,9368,975530,2741,234,129583,0,232,366,36,36,1,,
11/1/2020,164,132720,6435,979011,2704,201,129784,0,232,338,25,40,3,,
11/2/2020,197,132917,11584,984312,2689,212,129996,0,232,336,29,41,5,,
11/3/2020,226,133143,9580,989992,2709,206,130202,0,232,334,39,38,1,,
11/4/2020,227,133370,10764,995459,2724,212,130414,0,232,303,29,37,2,,
11/5/2020,249,133619,12064,1001488,2707,266,130680,0,232,304,30,40,4,,
11/6/2020,192,133811,11056,1007050,2698,201,130881,0,232,291,27,39,2,,
11/7/2020,202,134013,8548,1011047,2706,194,131075,0,232,276,32,40,2,,
11/8/2020,190,134203,8514,1015828,2695,201,131276,0,232,299,30,39,1,,
11/9/2020,230,134433,11136,1021116,2711,214,131490,0,232,294,41,41,4,,
11/10/2020,230,134663,10466,1025505,2697,243,131733,1,233,298,33,39,3,,
11/11/2020,224,134887,10351,1030640,2728,193,131926,0,233,307,37,36,2,,
11/12/2020,245,135132,10376,1035940,2745,227,132153,1,234,299,34,36,0,,
11/13/2020,235,135367,9598,1040710,2777,203,132356,0,234,291,31,36,2,,
11/14/2020,203,135570,9035,1044873,2759,221,132577,0,234,298,33,36,2,,
11/15/2020,215,135785,7575,1048828,2767,207,132784,0,234,277,20,37,2,,
11/16/2020,243,136028,10072,1053841,2783,226,133010,1,235,270,33,35,2,,
11/17/2020,194,136222,11009,1058418,2770,207,133217,0,235,283,45,40,6,,
11/18/2020,219,136441,9604,1063055,2733,256,133473,0,235,280,31,37,3,,
11/19/2020,208,136649,10687,1067758,2723,218,133691,0,235,289,43,36,3,,
11/20/2020,239,136888,10630,1072110,2739,223,133914,0,235,288,34,35,1,,
11/21/2020,174,137062,8106,1975890,2727,186,134100,0,235,281,19,35,0,,
11/22/2020,167,137229,8107,1080568,2711,182,134282,1,236,285,24,37,2,,
11/23/2020,186,137415,10047,1084762,2693,204,134486,0,236,288,29,37,2,,
11/24/2020,227,137642,10745,1088913,2708,212,134698,0,236,283,30,38,3,,
11/25/2020,209,137851,9080,1092622,2664,252,134950,1,237,268,30,36,2,,
11/26/2020,215,138066,11043,1097377,2631,248,135198,0,237,277,39,35,1,,
11/27/2020,184,138259,8411,1100989,2643,172,135370,0,237,270,32,35,4,,
11/28/2020,227,138477,8222,1104866,2589,281,135651,0,237,281,33,34,2,,
11/29/2020,171,138648,7566,1108078,2549,211,135862,0,237,279,29,33,0,,
11/30/2020,185,138833,10911,1112430,2506,228,136090,0,237,280,34,32,3,,
12/1/2020,168,139001,9033,1116081,2457,216,136306,1,238,260,27,30,3,,
12/2/2020,255,139256,10271,1120706,2504,207,136513,1,239,266,40,29,4,,
12/3/2020,221,139477,11096,1125668,2497,228,136741,0,239,268,26,29,0,,
12/4/2020,166,139643,9284,1129685,2532,131,136872,0,239,260,24,33,5,,
12/5/2020,140,139783,8727,1133075,2484,188,137060,0,239,253,25,36,5,,
12/6/2020,125,139908,8460,1136425,2393,216,137276,0,239,271,35,33,1,,
12/7/2020,178,140086,10468,1140455,2353,218,137494,0,239,262,29,30,0,,
12/8/2020,117,140203,10403,1144984,2256,214,137708,0,239,251,23,28,2,,
12/9/2020,150,140353,7140,1149684,2232,173,137881,1,240,261,34,27,0,,
12/10/2020,163,140516,13584,1154919,2243,152,138033,1,240,256,35,24,0,,
12/11/2020,164,140680,12507,1159766,2246,161,138194,0,240,254,33,25,1,,
12/12/2020,147,140827,8836,1163120,2240,153,138347,0,240,250,19,24,1,,
12/13/2020,134,140961,10177,1167017,2231,143,138490,0,240,252,25,24,1,,
12/14/2020,160,141121,10088,1171929,2161,229,138719,1,241,249,25,21,0,,
12/15/2020,151,141272,8929,1175833,2112,200,138919,0,241,250,26,22,2,,
12/16/2020,145,141417,10762,1180038,2133,123,139042,1,242,229,20,19,0,,
12/17/2020,140,141557,16104,1185304,2072,201,139243,0,242,218,22,21,3,,
12/18/2020,159,141716,10550,1189774,2090,141,139384,0,242,202,19,21,2,,
12/19/2020,142,141858,6155,1192295,2094,137,139521,1,243,208,16,21,0,,
12/20/2020,143,142001,8443,1196194,2034,203,139724,0,243,216,24,22,1,,
12/21/2020,158,142159,8254,1199805,1989,203,139927,0,243,212,28,24,2,,
12/22/2020,149,142308,7435,1203272,1936,202,140129,0,243,221,30,24,4,,
12/23/2020,140,142448,8213,1207359,1941,135,140264,0,243,226,32,23,0,,
12/24/2020,157,142605,9475,1211813,1958,140,140404,0,243,225,18,20,1,,
12/25/2020,129,142734,8537,1215910,1948,138,140542,1,244,208,27,23,3,,
12/26/2020,169,142903,6529,1219417,1972,145,140687,0,244,219,26,25,2,,
12/27/2020,159,143062,9465,1223497,1952,179,140866,0,244,221,24,28,3,,
12/28/2020,160,143222,8401,1227488,1963,149,141015,0,244,236,47,29,3,,
12/29/2020,206,143428,9292,1231890,2036,132,141147,1,245,265,45,38,3,,
12/30/2020,193,143621,8893,1236193,2076,153,141300,0,245,266,39,30,6,,
12/31/2020,213,143834,10875,1241406,2167,122,141422,0,245,259,35,28,3,,
1/1/2021,208,144042,8390,1244855,2241,134,141556,0,245,250,37,30,5,,
1/2/2021,198,144240,10323,1248366,2315,124,141680,0,245,256,26,31,3,,
1/3/2021,197,144437,8251,1252433,2315,128,141808,0,245,286,43,32,4,,
1/4/2021,207,144644,9975,1257197,2474,117,141925,0,245,263,28,33,4,,
1/5/2021,208,144852,11145,1261956,2551,131,142056,0,245,280,41,35,2,,
1/6/2021,209,145061,10082,1266662,2634,126,142182,0,245,288,32,32,2,,
1/7/2021,210,145271,10822,1272766,2712,132,142314,0,245,279,34,31,2,,
